PCIS Permit #,Status,Status Date,Permit Type,Permit Sub-Type,Issue Date,Address Start,Address End,Street Direction,Street Name,Street Suffix,Valuation,Floor Area-L.A. Zoning Code Definition,# of Residential Dwelling Units,# of Stories,Zone,Floor Area-L.A. Building Code Definition,Council District,Latitude/Longitude
12014-20000-00330,Issued,06/28/2013 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,06/28/2013,16948,16948,W,ENCINO HILLS,DR,$200000.00,5182,0,2,RE15-1-H,1577,5,"(34.1354, -118.50215)"
14014-20000-02685,Issued,06/16/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,06/16/2015,19000,19000,W,KINGSBURY,ST,$75400.00,746,,1,RE11-1,746,12,"(34.26287, -118.54665)"
13010-10000-02225,Issued,10/20/2014 12:00:00 AM,Bldg-New,Commercial,10/20/2014,1026,1026,S,BROADWAY,,$51039723.00,353192,236,7,C2-4D-O,736302,14,"(34.04029, -118.25788)"
15010-30000-03720,Issued,02/26/2016 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,02/26/2016,3710,3710,S,OCEAN VIEW,AVE,$38000.00,225,0,1,R1-1,225,11,"(34.00641, -118.43388)"
15014-30000-01830,Issued,10/28/2015 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,10/28/2015,12100,12100,W,CLARKSON,ROAD,$192000.00,2818,1,2,R1-1,2818,11,"(34.0213, -118.44337)"
14014-30000-02649,Issued,06/20/2014 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,06/20/2014,117,117,S,GRETNA GREEN,WAY,$30000.00,242,,0,R1-1,242,11,"(34.0577, -118.47918)"
13014-20000-04745,Issued,11/14/2013 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,11/14/2013,12802,12802,W,MIRANDA,ST,$25000.00,344,0,1,R1-1,459,2,"(34.17499, -118.41199)"
13010-10000-03611,Issued,01/23/2015 12:00:00 AM,Bldg-New,Apartment,01/23/2015,11931,11931,W,GOSHEN,AVE,$2500000.00,14811,9,4,R3-1,24053,11,"(34.04726, -118.46571)"
13010-30000-03267,Issued,01/15/2015 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,01/15/2015,13140,13140,W,MULHOLLAND,DR,$1875000.00,7573,1,2,RE15-1-H,11549,5,"(34.12673, -118.41876)"
13014-30001-00954,Issued,09/09/2014 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,09/09/2014,5974,5974,W,75TH,ST,$25000.00,236,0,1,R1-1,236,11,"(33.97302, -118.38844)"
14014-20000-02705,Issued,09/18/2014 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,09/18/2014,15762,15762,W,ARARAT,ST,$15000.00,404,0,0,RE9-1,404,7,"(34.30535, -118.47358)"
15014-10000-00255,Issued,06/01/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,06/01/2015,1904,1906,S,HOLT,AVE,$234860.00,1432,1,2,RD2-1,2957,10,"(34.04304, -118.3807)"
13010-10000-04605,Issued,05/01/2015 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,05/01/2015,2388,2388,N,LYRIC,AVE,$281400.00,1856,1,2,R1-1,2240,4,"(34.10442, -118.27535)"
15014-20000-02650,Issued,09/04/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,09/04/2015,11412,11412,W,DONA DOROTEA,DR,$88000.00,2596,0,1,RE15-1-H,456,2,"(34.12717, -118.38288)"
14010-10000-00325,Issued,08/20/2014 12:00:00 AM,Bldg-New,Commercial,08/20/2014,6260,6260,N,TOPANGA CANYON,BLVD,$40000.00,416,,1,WC,416,3,"(34.18497, -118.60418)"
13010-10000-03796,Issued,10/28/2015 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,10/28/2015,9268,9268,W,ROBIN,DR,$1850000.00,17557,1,1,RE15-1-H,17557,4,"(34.10121, -118.39137)"
13010-20000-03773,Issued,03/18/2016 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,03/18/2016,10262,10262,,ANGEL,LANE,$185000.00,1489,1,2,(Q)RD3-1,1911,7,
14014-10000-02467,Issued,09/19/2014 12:00:00 AM,Bldg-Addition,Apartment,09/19/2014,1565,1565,N,ZUNIGA,LANE,$2000.00,0,,0,RD2-1,21.3,14,"(34.05968, -118.19303)"
16014-20000-00463,Issued,03/02/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,03/02/2016,10356,10356,W,NORTHVALE,ROAD,$27500.00,3631,,3,R1-1,272,5,"(34.03247, -118.4131)"
12010-10000-02875,Issued,05/12/2014 12:00:00 AM,Bldg-New,Apartment,05/12/2014,903,903,S,NEW HAMPSHIRE,AVE,$4089389.00,24414,16,5,(T)(Q)R4-2,37161,10,"(34.05572, -118.29302)"
15014-20000-05148,Issued,11/12/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,11/12/2015,5442,5442,E,TEMPLETON,ST,$25000.00,206,,0,R1-1,206,14,"(34.0859, -118.164)"
13014-20000-00752,Issued,02/28/2013 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,02/28/2013,3246,3246,W,LARGA,AVE,$35000.00,227,0,1,R1-1,227,13,"(34.11323, -118.25504)"
14010-30000-01586,Issued,11/05/2014 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,11/05/2014,797,797,N,TERRACE 49,,$172000.00,1420,1,2,R1-1,1538,1,"(34.1126, -118.20935)"
16014-20000-01064,Issued,03/17/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,03/17/2016,17800,17800,W,LAHEY,ST,$55000.00,2074,0,1,RA-1,968,12,"(34.27318, -118.52151)"
15014-20000-05634,Issued,12/23/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,12/23/2015,10816,10816,N,WOODWARD,AVE,$70000.00,689,,0,R1-1-RFA,689,7,"(34.26518, -118.30692)"
13014-20000-01203,Issued,09/16/2013 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,09/16/2013,5912,5912,N,CALVIN,AVE,$180000.00,2128,,2,RA-1,1483,3,"(34.17785, -118.55548)"
15014-30000-03815,Issued,08/20/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,08/20/2015,7533,7533,N,CLYBOURN,AVE,$20000.00,258,0,1,RD1.5-1,240,2,"(34.20756, -118.3633)"
12014-10000-04087,Issued,03/14/2013 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,03/14/2013,106,106,N,ARDMORE,AVE,$12000.00,,,1,R1-1,161.5,4,"(34.07403, -118.30153)"
15010-20000-03941,Issued,01/13/2016 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,01/13/2016,130,130,S,GRANVILLE,AVE,$37000.00,445,,1,RS-1,455,11,"(34.06293, -118.47121)"
15014-20000-04147,Issued,11/17/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,11/17/2015,9314,9314,N,GEYSER,AVE,$34000.00,498,,0,RS-1,723,12,"(34.23957, -118.54236)"
15014-10000-04029,Issued,03/03/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,03/03/2016,6307,6307,S,CONDON,AVE,$200000.00,1278,,2,R1-1,1278,11,"(33.98182, -118.3602)"
15010-20000-01556,Issued,05/04/2015 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,05/04/2015,7900,7900,N,VAN NOORD,AVE,$3500.00,252,,1,(T)R1-1,252,2,"(34.21389, -118.41467)"
15014-30000-02402,Issued,12/23/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,12/23/2015,475,475,N,BOWLING GREEN,WAY,$156000.00,6076,0,2,RE15-1,842,11,"(34.06777, -118.47707)"
15014-10000-05874,Issued,12/22/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,12/22/2015,3771,3771,S,WEST,BLVD,$36200.00,1372,,0,R1-1,362,10,"(34.01773, -118.34138)"
15014-20000-00183,Issued,02/19/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,02/19/2015,913,913,E,52ND,PL,$26000.00,240,,1,R2-1,240,9,"(33.99513, -118.25956)"
13010-10000-02715,Issued,06/13/2014 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,06/13/2014,16,16,S,BEVERLY,PARK,$500000.00,3368,,1,RE40-1-H,3733,5,"(34.10592, -118.42158)"
15014-30000-03328,Issued,10/09/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,10/09/2015,1463,1463,S,WARNALL,AVE,$140000.00,3065,0,2,R1-1-O,498,5,"(34.06209, -118.42389)"
15014-20000-01042,Issued,03/13/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,03/13/2015,13880,13880,W,PAXTON,ST,$50000.00,464,0,0,R1-1-O,464,7,"(34.26658, -118.43561)"
14010-10000-03299,Issued,07/15/2015 12:00:00 AM,Bldg-New,Apartment,07/15/2015,1167,1167,S,HOOVER,ST,$3920000.00,26298,35,3,R4-1VL,46577,1,"(34.04969, -118.28435)"
14010-20000-03604,Issued,05/07/2015 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,05/07/2015,1822,1822,S,REDONDO,BLVD,$282100.00,2055,1,3,RD1.5-1-O,2355,10,"(34.04304, -118.35162)"
14014-20000-02617,Issued,07/29/2014 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,07/29/2014,1375,1375,N,BELFAST,DR,$75000.00,813,,0,R1-1,813,4,"(34.09572, -118.38123)"
15010-20000-00915,Issued,07/21/2015 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,07/21/2015,1608,1608,N,SAN YSIDRO,DR,$690000.00,5913,1,2,RE20-1-H,6338,5,"(34.10048, -118.42336)"
15014-10000-04436,Issued,10/05/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,10/05/2015,5517,5517,W,82ND,ST,$50000.00,1783,0,1,R1-1,424,11,"(33.9641, -118.37595)"
14010-10000-02815,Issued,01/06/2015 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,01/06/2015,4093,4093,E,SAN RAFAEL,AVE,$10000.00,0,,1,R1-1,293,1,"(34.10743, -118.21435)"
13014-40000-01045,Issued,08/13/2013 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,08/13/2013,3219,3219,S,WALKER,AVE,$110000.00,2086.9,,0,R1-1XL,473.2,15,"(33.71814, -118.30375)"
14010-20000-03728,Issued,12/15/2015 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,12/15/2015,1545,1545,N,AMALFI,DR,$962000.00,5039,1,2,RE15-1-H,10125,11,"(34.05928, -118.50422)"
14014-20000-02409,Issued,02/19/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,02/19/2015,6913,6913,N,ZELZAH,AVE,$51000.00,483.75,,1,R1-1,483.75,3,"(34.19598, -118.5226)"
15014-20000-04171,Issued,11/20/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,11/20/2015,9125,9125,W,GIBSON,ST,$25000.00,1239,,2,R1-1,1239,5,"(34.03811, -118.39099)"
16010-30000-00979,Issued,03/11/2016 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,03/11/2016,13715,13715,W,SUNSET,BLVD,$7000.00,290,,1,RE11-1,290,11,"(34.05051, -118.50553)"
16014-20000-01202,Issued,03/18/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,03/18/2016,6414,6414,N,WHITMAN,AVE,$35500.00,349.5,,0,[Q]RD1.5-1-RIO,349.5,6,"(34.18712, -118.47632)"
15014-20000-05818,Issued,01/28/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,01/28/2016,1549,1549,S,BURNSIDE,AVE,$100000.00,700,,1,RD2-1-O,700,10,"(34.0453, -118.3561)"
12014-20000-04433,Issued,01/18/2013 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,01/18/2013,4976,4976,N,ODESSA,AVE,$180000.00,1679,0,1,R1-1,1248,5,"(34.16084, -118.4909)"
14014-20000-03577,Issued,10/28/2014 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,10/28/2014,2216,2216,S,DUXBURY,CIR,$194000.00,1923,0,2,R1-1-O,1923,5,"(34.04313, -118.39628)"
13010-10000-03892,Issued,05/14/2015 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,05/14/2015,21135,21135,S,NORMANDIE,AVE,$264017.00,2763,1,3,R2-1,3038,15,"(33.83706, -118.2994)"
13014-30000-05494,Issued,04/24/2014 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,04/24/2014,2764,2764,S,CLUB,DR,$100000.00,3024,,2,R1-1-O,573,5,"(34.04164, -118.40472)"
14014-10000-04697,Issued,01/08/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,01/08/2015,3957,3957,S,ORANGE,DR,$88880.00,1907.41,0,1,R1-1,623.41,10,"(34.01427, -118.35637)"
14014-10000-02449,Issued,09/19/2014 12:00:00 AM,Bldg-Addition,Apartment,09/19/2014,1539,1539,N,EVERGREEN,AVE,$2000.00,0,,0,A1-1,21.3,14,"(34.05912, -118.19416)"
14014-20000-00223,Issued,01/23/2014 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,01/23/2014,13683,13683,W,MERCER,ST,$25900.00,256.3,,1,R1-1-O,256.3,7,"(34.26221, -118.43112)"
13010-20000-03115,Issued,03/09/2015 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,03/09/2015,665,665,E,ROSE,AVE,$421000.00,3072,1,2,C4-1,3072,11,"(34.00023, -118.47042)"
14014-10001-02868,Issued,12/24/2014 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,12/24/2014,317,317,S,WINDSOR,BLVD,$220000.00,10116,0,2,RE15-1-HPOZ,2065,4,"(34.06807, -118.32161)"
15014-20000-04846,Issued,10/22/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,10/22/2015,5335,5335,N,LUBAO,AVE,$14000.00,240,,0,RA-1,240,3,"(34.16705, -118.56708)"
14014-20000-05004,Issued,11/19/2014 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,11/19/2014,6528,6528,N,YARMOUTH,AVE,$50000.00,495,0,0,R1-1-RIO,495,3,"(34.18941, -118.51955)"
14010-30000-02037,Issued,12/07/2015 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,12/07/2015,1200,1200,N,BEL-AIR,ROAD,$4500000.00,19320.6,1,4,RE40-1-H,22519.8,5,"(34.09497, -118.44366)"
13010-10000-02139,Issued,12/22/2014 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,12/22/2014,3552,3552,E,TACOMA,AVE,$344087.00,2751,1,3,R1-1,2751,1,"(34.09754, -118.22555)"
16016-20000-03801,Issued,03/10/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,03/10/2016,3914,3914,N,ETHEL,AVE,$30000.00,32.5,0,2,R1-1,0,2,"(34.14169, -118.41859)"
15010-20000-02029,Issued,06/03/2015 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,06/03/2015,19221,19221,W,OXNARD,ST,$5200.00,0,0,1,RS-1,324,3,"(34.17949, -118.55224)"
15014-20000-01054,Issued,03/13/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,03/13/2015,9520,9520,N,COMANCHE,AVE,$8000.00,486,,0,RS-1,486,12,"(34.24335, -118.57252)"
15010-10000-00395,Issued,08/17/2015 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,08/17/2015,1525,1525,S,DURANGO,AVE,$22000.00,0,,1,R1-1-O,400,5,"(34.05171, -118.3886)"
15010-10001-01244,Issued,02/17/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,02/17/2016,2430,2430,N,BOWMONT,DR,$50000.00,13353.9,,2,RE20-1-H,235.9,4,"(34.1172, -118.39765)"
16014-20000-01693,Issued,04/15/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,04/15/2016,7128,7128,N,MATILIJA,AVE,$3800.00,1551,0,1,R1-1,68,2,"(34.20026, -118.43328)"
13010-20000-04472,Issued,05/11/2015 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,05/11/2015,4411,4411,N,LEMP,AVE,$163000.00,1411,1,3,R3-1,1735,2,"(34.15077, -118.38458)"
15010-70000-04287,Issued,02/09/2016 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,02/09/2016,159,159,E,54TH,ST,$366055.00,3625,2,2,RD2-1,3625,9,"(33.99345, -118.27192)"
14014-20000-05143,Issued,02/17/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,02/17/2015,7829,7829,W,ELECTRA,DR,$130000.00,3126,0,2,RE15-1-H,534,4,"(34.10608, -118.36303)"
12010-20000-02081,Issued,08/01/2013 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,08/01/2013,3383,3383,N,MANDEVILLE CANYON,ROAD,$96000.00,1161,,2,RE40-1-H,1111,11,"(34.10467, -118.50376)"
12010-10000-02964,Issued,03/05/2013 12:00:00 AM,Bldg-New,Commercial,03/05/2013,15541,15541,W,ROSCOE,BLVD,$70000.00,0,,1,[T][Q]CM-1VL,1125,6,"(34.22156, -118.47147)"
15014-10000-00657,Issued,04/27/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,04/27/2015,2147,2147,W,CLINTON,ST,$5000.00,240,0,0,RD3-1VL,240,13,"(34.07434, -118.26727)"
14014-10000-02329,Issued,08/14/2014 12:00:00 AM,Bldg-Addition,Apartment,08/14/2014,1334,1334,N,CRUSADO,LANE,$3000.00,0,,0,RD2-1,22,14,"(34.05697, -118.19584)"
14014-20000-02635,Issued,06/25/2014 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,06/25/2014,9352,9352,W,NIGHTINGALE,DR,$20000.00,134,,2,RE15-1-H,134,4,"(34.10503, -118.39138)"
15010-20000-03401,Issued,10/09/2015 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,10/09/2015,4800,4800,E,BAMFORD,PL,$37400.00,228,,1,R1-1,494,1,"(34.11666, -118.21223)"
15014-10000-05937,Issued,02/16/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,02/16/2016,5144,5144,N,WOODLEY,AVE,$12000.00,3024,0,0,RE9-1,272,5,"(34.1633, -118.48345)"
14014-20000-04561,Issued,10/21/2014 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,10/21/2014,12700,12700,W,BLYTHE,ST,$33000.00,1569,0,1,R1-1,345,2,"(34.21454, -118.40948)"
14014-10000-02494,Issued,09/19/2014 12:00:00 AM,Bldg-Addition,Apartment,09/19/2014,1427,1427,N,INDIANA,ST,$2000.00,0,,0,A1-1,21.3,14,"(34.05646, -118.19282)"
13014-10000-02600,Issued,09/27/2013 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,09/27/2013,5277,5277,N,SHOSHONE,AVE,$165000.00,4864,,2,RA-1,1773,5,"(34.16761, -118.51657)"
15014-30000-03334,Issued,03/15/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,03/15/2016,177,177,S,FULLER,AVE,$150000.00,3656,0,2,R1-1-HPOZ,639,5,"(34.07138, -118.34993)"
15010-20000-03910,Issued,03/24/2016 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,03/24/2016,14847,14847,W,LILAC,RD,$186072.00,1556,1,3,RD1.5-1,1912,6,
15014-20000-03041,Issued,07/08/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,07/08/2015,235,235,N,CARMELINA,AVE,$7000.00,26.25,,0,RE20-1,26.25,11,"(34.06151, -118.48477)"
13014-10002-03494,Issued,02/11/2014 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,02/11/2014,1457,1457,N,BLUE JAY,WAY,$400000.00,9684,,2,RE15-1-H,3495,4,"(34.09792, -118.38716)"
15010-30000-02957,Issued,03/14/2016 12:00:00 AM,Bldg-New,Commercial,03/14/2016,11955,11955,W,SUNSET,BLVD,$42000.00,6000,,1,R1-1,6000,11,"(34.06247, -118.47358)"
15014-20000-05263,Issued,01/14/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,01/14/2016,15448,15448,W,CAMARILLO,ST,$150000.00,622,0,0,R1-1,622,5,"(34.15746, -118.47105)"
15010-20000-00616,Issued,03/29/2016 12:00:00 AM,Bldg-New,Apartment,03/29/2016,10839,10839,W,KLING,ST,$1581000.00,8750,6,3,R3-1,12516,2,"(34.15578, -118.36704)"
15014-20000-04352,Issued,11/24/2015 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,11/24/2015,4662,4662,N,TALOFA,AVE,$200000.00,1029,1,2,RE9-1,1745,4,
15014-10000-02822,Issued,10/08/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,10/08/2015,4268,4268,N,NAVAJO,ST,$150000.00,3858,0,0,R1-1-RIO,2095.5,4,"(34.14779, -118.35137)"
15014-10000-01927,Issued,05/13/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,05/13/2015,838,838,E,105TH,ST,$30000.00,1515,0,1,R1-1,336,8,"(33.9408, -118.25951)"
13014-70000-02127,Issued,06/25/2013 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,06/25/2013,402,402,E,95TH,ST,$25000.00,190,,0,R1-1,190,8,"(33.95009, -118.26711)"
13014-30000-01236,Issued,10/21/2013 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,10/21/2013,2265,2265,N,SAN YSIDRO,DR,$100000.00,2782,,0,RE15-1-H,170,5,"(34.11303, -118.42499)"
14010-10000-02673,Issued,02/20/2015 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,02/20/2015,375,375,S,SALTAIR,AVE,$80000.00,850,,2,RS-1,1700,11,"(34.05602, -118.47427)"
14014-30000-01218,Issued,07/17/2014 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,07/17/2014,611,611,N,CASCADA,WAY,$60000.00,3052,,0,RE15-1-H,98,5,"(34.08085, -118.46214)"
13010-10000-01323,Issued,06/27/2014 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,06/27/2014,849,849,S,KENISTON,AVE,$15000.00,,,1,R1-1,455,4,"(34.0595, -118.33527)"
15014-20000-03359,Issued,07/28/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,07/28/2015,12983,12983,N,GLENOAKS,BLVD,$5000.00,0,0,1,R1-1,-1,7,"(34.30631, -118.44836)"
15014-20002-01173,Issued,11/02/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,11/02/2015,4427,4427,W,KINGSWELL,AVE,$9400.00,3879,,2,R2-1XL,94,4,"(34.10281, -118.28622)"
14014-20000-04718,Issued,11/04/2014 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,11/04/2014,8860,8860,N,ROSLYNDALE,AVE,$29900.00,281.5,,1,R1-1,281.5,6,"(34.23072, -118.42418)"
15014-10000-03187,Issued,07/30/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,07/30/2015,1944,1944,N,CANYON,DR,$46000.00,2312,,0,R1-1-HPOZ,168,4,"(34.1065, -118.31676)"
14010-20000-02626,Issued,04/04/2016 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,04/04/2016,6922,6922,N,BALBOA,BLVD,$175000.00,1431,1,2,R1-1,1818,6,
14014-10000-00570,Issued,02/24/2014 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,02/24/2014,3839,3839,S,WELLINGTON,ROAD,$55200.00,452,0,0,R1-1,452,10,"(34.01623, -118.3387)"
12014-20000-04126,Issued,03/15/2013 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,03/15/2013,4937,4937,N,HESPERIA,AVE,$95000.00,1673,0,1,R1-1,611,5,"(34.15932, -118.52631)"
14014-20000-03407,Issued,09/29/2014 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,09/29/2014,6439,6439,N,BEN,AVE,$85000.00,858,,2,R1-1,858,2,"(34.18793, -118.39445)"
15014-20000-05393,Issued,12/16/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,12/16/2015,303,303,N,SAINT PIERRE,ROAD,$8000.00,57,,1,RE20-1,57,5,"(34.08386, -118.43641)"
15010-20000-00200,Issued,12/21/2015 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,12/21/2015,9324,9324,W,CRESTA,DR,$650000.00,4502,1,2,R1-1,4502,5,"(34.04651, -118.39229)"
13014-20000-00259,Issued,01/23/2013 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,01/23/2013,5172,5172,N,AVENIDA HACIENDA,,$8000.00,480,0,2,RA-1,480,3,"(34.16522, -118.5335)"
14014-20000-04034,Issued,08/04/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,08/04/2015,3393,3393,N,FLOYD,TER,$35000.00,130,,0,R1-1,130,4,"(34.13388, -118.34467)"
15010-30000-03379,Issued,12/18/2015 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,12/18/2015,5601,5601,W,78TH,ST,$800000.00,6353,1,3,R1-1,6851,11,"(33.96731, -118.37918)"
15014-20000-04980,Issued,12/17/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,12/17/2015,4914,4914,N,ENCINO,TER,$10000.00,38,,0,RE11-1,38,5,"(34.15975, -118.5152)"
14014-20000-01673,Issued,07/30/2014 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,07/30/2014,5743,5743,N,BERTRAND,AVE,$250000.00,2834,,2,R1-1,2022,5,"(34.17493, -118.52551)"
13014-70000-04199,Issued,11/18/2013 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,11/18/2013,1714,1714,W,59TH,PL,$50100.00,496,0,1,R2-1,496,8,"(33.98661, -118.30734)"
13014-20000-04973,Issued,02/14/2014 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,02/14/2014,1040,1040,N,LACHMAN,LANE,$125000.00,2408.5,,1,R1-1,6.3,11,"(34.05426, -118.54604)"
16014-30000-01479,Issued,04/18/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,04/18/2016,1716,1716,S,CREST,DR,$60000.00,2369,0,1,R1-1,45,5,"(34.04857, -118.3875)"
15014-10000-00205,Issued,02/10/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,02/10/2016,131,131,S,ROSSMORE,AVE,$200000.00,0,0,2,RE11-1-HPOZ,518,4,"(34.07221, -118.32751)"
13010-20000-03711,Issued,04/08/2014 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,04/08/2014,10655,10655,N,NASSAU,AVE,$20000.00,0,,1,R1-1-RFA,400,7,"(34.26303, -118.31066)"
16016-20000-08160,Issued,04/20/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,04/20/2016,10225,10225,W,CAMARILLO,ST,$15000.00,168,,1,R1-1,166,4,"(34.15786, -118.35347)"
15014-20000-05128,Issued,11/10/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,11/10/2015,4814,4814,W,ROUND TOP,DR,$18000.00,261,0,0,R1-1,261,14,"(34.1357, -118.22519)"
14014-20000-00258,Issued,02/07/2014 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,02/07/2014,13908,13908,W,BESSEMER,ST,$35000.00,169,,0,[Q]RD2-1,169,2,"(34.1811, -118.43603)"
